titulo,descripcion,categoria,latitud,longitud,fechaAcontecimiento,multimedia
Incendio en vivienda familiar,Un corto circuito desató un incendio que consumió dos habitaciones,accidente,-27.0859,-58.4222,2025-11-29T16:25,http://example.com/204
Corte de gas por fuga,Técnicos cortaron el suministro ante una fuga en red secundaria,cortes,-50.4126,-54.3839,2025-07-05T16:00,http://example.com/205
Maratón nocturna,Competencia nocturna convocó a más de mil participantes,evento,-34.2042,-70.2069,2025-02-16T05:55,http://example.com/206
Incendio en depósito,Un depósito de materiales inflamables se incendió en zona industrial,accidente,-43.4226,-69.3677,2025-03-08T00:02,http://example.com/207
Corte de gas programado,La empresa distribuidora realizó corte para mantenimiento preventivo,cortes,-46.7948,-68.4686,2025-04-19T14:45,http://example.com/208
Interrupción de agua caliente,Falla en sistema de calefacción central de edificios municipales,cortes,-40.4959,-72.7173,2025-06-26T08:45,http://example.com/209
Corte de luz en zona rural,Granizo dañó líneas de alta tensión dejando pueblos sin electricidad,cortes,-53.2993,-65.3748,2025-10-07T12:40,http://example.com/210
Helada tardía daña viñedos,Una helada fuera de temporada afectó producción vitivinícola,evento,-50.7733,-60.3999,2025-08-07T08:49,http://example.com/211
Corte de internet masivo,Falla en nodo principal dejó sin servicio a miles de usuarios,cortes,-43.9474,-67.6216,2025-09-15T07:54,http://example.com/212
Tormenta eléctrica severa,Rayos provocaron incendios y cortes de luz en zona rural,evento,-45.4281,-71.0542,2025-06-13T01:41,http://example.com/213
Feria de antigüedades,Coleccionistas y curiosos se dieron cita en la feria de objetos vintage,evento,-27.8218,-60.1418,2025-05-03T21:19,http://example.com/214
Paro de médicos en hospital público,Profesionales de la salud pararon en reclamo de insumos,evento,-50.2479,-61.441,2025-03-22T10:13,http://example.com/215
Festival de teatro callejero,Compañías locales realizaron obras en espacios públicos,evento,-35.5994,-64.0788,2025-12-02T09:32,http://example.com/216
Torneo de básquet femenino,Equipos de toda la provincia compitieron en el torneo regional,evento,-22.8445,-66.7174,2025-05-05T00:26,http://example.com/217
Festival de danza folclórica,Grupos de danza de distintas provincias actuaron en el parque,evento,-43.8847,-73.4284,2025-04-30T05:14,http://example.com/218
Corte de luz en zona rural,Granizo dañó líneas de alta tensión dejando pueblos sin electricidad,cortes,-50.8893,-63.6364,2025-05-10T19:45,http://example.com/219
Marcha por el medio ambiente,Activistas reclamaron por la contaminación de un río local,evento,-29.8454,-64.4636,2025-10-14T17:29,http://example.com/220
Accidente de moto en autopista,Motociclista perdió el control a alta velocidad y resultó herido,accidente,-41.1076,-60.0613,2025-05-21T22:49,http://example.com/221
Paro de médicos en hospital público,Profesionales de la salud pararon en reclamo de insumos,evento,-52.8328,-63.363,2025-07-27T22:19,http://example.com/222
Marcha por la seguridad,Vecinos exigieron más patrullajes tras serie de robos en el barrio,evento,-46.5681,-54.1993,2025-09-05T07:12,http://example.com/223
Choque tren-camión,Un camión quedó atrapado en las vías y fue embestido por un tren,accidente,-25.7278,-61.5233,2025-05-24T18:11,http://example.com/224
Corte de agua por rotura,Una rotura en cañería maestra dejó sin agua a varios barrios,cortes,-45.1153,-66.7143,2025-10-29T04:42,http://example.com/225
Corte de agua en zona industrial,Mantenimiento de emergencia en planta potabilizadora,cortes,-32.66,-56.9212,2025-11-05T17:26,http://example.com/226
Interrupción telefónica masiva,Falla en central telefónica dejó sin servicio a zona comercial,cortes,-53.8034,-63.4291,2025-05-15T06:18,http://example.com/227
Temporal de viento,Ráfagas de hasta 100 km/h volaron techos y derribaron postes,evento,-26.4729,-66.4465,2025-06-10T17:07,http://example.com/228
Inauguración de mural comunitario,Vecinos y artistas pintaron un mural en la pared de la escuela,evento,-48.6524,-59.9671,2025-09-12T17:24,http://example.com/229
Choque múltiple en niebla,Tres vehículos colisionaron por baja visibilidad,accidente,-49.8693,-55.7494,2025-11-15T10:58,http://example.com/230
Feria de emprendedores,Más de cien emprendedores locales exhibieron sus productos,evento,-48.1475,-55.1648,2025-08-22T10:53,http://example.com/231
Corte eléctrico por mantenimiento,La empresa anunció corte programado de 6 horas en zona norte,cortes,-52.508,-61.0627,2025-10-14T01:07,http://example.com/232
Feria del libro infantil,Gran convocatoria en la feria de literatura para niños y jóvenes,evento,-29.9729,-65.7003,2025-05-03T17:42,http://example.com/233
Protesta de docentes,Maestros marcharon al ministerio reclamando mejoras salariales,evento,-47.1599,-55.5759,2025-09-24T14:42,http://example.com/234
Incendio en depósito,Un depósito de materiales inflamables se incendió en zona industrial,accidente,-43.6241,-69.7037,2025-03-29T03:30,http://example.com/235
Feria del libro infantil,Gran convocatoria en la feria de literatura para niños y jóvenes,evento,-39.2469,-68.4788,2025-06-06T18:09,http://example.com/236
Feria del trueque,Vecinos intercambiaron productos y servicios sin dinero,evento,-37.133,-72.0367,2025-03-24T07:13,http://example.com/237
Corte de agua por rotura,Una rotura en cañería maestra dejó sin agua a varios barrios,cortes,-53.0283,-69.2798,2025-07-25T10:23,http://example.com/238
Protesta de comerciantes,Comerciantes del centro cerraron sus negocios en señal de protesta,evento,-44.8686,-61.1917,2025-02-14T05:10,http://example.com/239
Vuelco de colectivo,Un colectivo de larga distancia volcó en la banquina sin víctimas fatales,accidente,-48.2415,-58.5441,2025-03-20T19:13,http://example.com/240
Accidente de tránsito nocturno,Choque frontal entre dos autos en ruta provincial a la madrugada,accidente,-27.1705,-69.1192,2025-07-14T18:03,http://example.com/241
Protesta de trabajadores municipales,Empleados municipales realizaron huelga por incumplimiento de paritarias,evento,-50.3489,-69.2573,2025-11-19T10:53,http://example.com/242
Caída de puente peatonal,Sección de puente peatonal cedió por sobrepeso,accidente,-45.2108,-58.6841,2025-12-25T18:52,http://example.com/243
Helada tardía daña viñedos,Una helada fuera de temporada afectó producción vitivinícola,evento,-24.6862,-71.0114,2025-07-31T00:33,http://example.com/244
Granizo destruye cultivos,Fuerte granizada afectó hectáreas de producción agrícola,evento,-32.097,-67.3116,2025-10-20T06:49,http://example.com/245
Paro de médicos en hospital público,Profesionales de la salud pararon en reclamo de insumos,evento,-27.6667,-54.4953,2025-04-01T08:30,http://example.com/246
Feria del libro infantil,Gran convocatoria en la feria de literatura para niños y jóvenes,evento,-44.796,-58.2215,2025-12-15T08:27,http://example.com/247
Caída de árbol sobre auto,Un árbol caído por el viento aplastó un vehículo estacionado,accidente,-23.2723,-61.6375,2025-12-02T10:54,http://example.com/248
Interrupción telefónica masiva,Falla en central telefónica dejó sin servicio a zona comercial,cortes,-43.6963,-65.9513,2025-03-29T10:47,http://example.com/249
Festival de cine independiente,Proyecciones al aire libre de cortometrajes nacionales e internacionales,evento,-42.3592,-67.0189,2025-12-02T02:31,http://example.com/250
Tormenta eléctrica severa,Rayos provocaron incendios y cortes de luz en zona rural,evento,-35.2711,-59.2312,2025-06-21T11:29,http://example.com/251
Ola de calor extremo,Temperaturas superaron los 40 grados en varias provincias del norte,evento,-29.3969,-60.0403,2025-05-21T19:17,http://example.com/252
Feria de ciencias escolar,Alumnos de secundaria presentaron proyectos científicos innovadores,evento,-51.5502,-71.0029,2025-12-14T19:13,http://example.com/253
Manifestación estudiantil,Estudiantes universitarios tomaron las calles por recortes en educación,evento,-38.0281,-61.7401,2025-04-30T13:09,http://example.com/254
Feria de emprendedores,Más de cien emprendedores locales exhibieron sus productos,evento,-29.5029,-64.6477,2025-11-16T15:14,http://example.com/255
Derrumbe parcial de edificio,Un edificio antiguo sufrió un derrumbe parcial en su fachada,accidente,-42.9823,-67.8522,2025-09-17T17:01,http://example.com/256
Corte de ruta por protesta,Productores agropecuarios cortaron ruta nacional en reclamo de precios,evento,-33.5677,-54.089,2025-09-16T05:05,http://example.com/257
Festival de jazz en plaza,Músicos locales e internacionales animaron la noche en plaza central,evento,-34.9277,-72.6794,2025-06-25T14:34,http://example.com/258
Corte de agua por rotura,Una rotura en cañería maestra dejó sin agua a varios barrios,cortes,-37.8351,-59.0047,2025-05-29T03:42,http://example.com/259
Corte de agua en zona industrial,Mantenimiento de emergencia en planta potabilizadora,cortes,-27.3734,-60.778,2025-12-23T07:57,http://example.com/260
Granizo destruye cultivos,Fuerte granizada afectó hectáreas de producción agrícola,evento,-27.8053,-59.6119,2025-03-11T22:48,http://example.com/261
Festival de teatro callejero,Compañías locales realizaron obras en espacios públicos,evento,-23.9002,-54.0874,2025-06-01T08:59,http://example.com/262
Interrupción de agua caliente,Falla en sistema de calefacción central de edificios municipales,cortes,-31.1166,-67.3776,2025-12-18T23:32,http://example.com/263
Incendio en vivienda familiar,Un corto circuito desató un incendio que consumió dos habitaciones,accidente,-42.1952,-59.6384,2025-05-25T17:38,http://example.com/264
Corte de luz por tormenta,Fuertes vientos derribaron postes dejando sin luz a miles de hogares,cortes,-24.1862,-71.4002,2025-04-18T12:50,http://example.com/265
Crecida del río amenaza pueblos,El nivel del río superó el umbral de alerta en tres localidades,evento,-51.7484,-61.7252,2025-09-13T14:53,http://example.com/266
Crecida del río amenaza pueblos,El nivel del río superó el umbral de alerta en tres localidades,evento,-48.6985,-61.1131,2025-07-03T08:16,http://example.com/267
Corte de agua en zona industrial,Mantenimiento de emergencia en planta potabilizadora,cortes,-45.1552,-62.4333,2025-08-25T12:32,http://example.com/268
Nevadas en zona cordillerana,Importante acumulación de nieve cortó pasos montañosos,evento,-39.5242,-63.1265,2025-11-24T09:11,http://example.com/269
Maratón solidaria,Cientos de corredores participaron en carrera a beneficio de un hospital,evento,-31.4372,-62.9638,2025-09-12T21:16,http://example.com/270
Corte de ruta por protesta,Productores agropecuarios cortaron ruta nacional en reclamo de precios,evento,-32.0346,-70.8436,2025-07-17T09:34,http://example.com/271
Manifestación de vecinos,Vecinos cortaron calle para reclamar por baches y falta de alumbrado,evento,-33.4009,-64.0751,2025-02-28T13:55,http://example.com/272
Temporal de viento,Ráfagas de hasta 100 km/h volaron techos y derribaron postes,evento,-38.7021,-65.2665,2025-02-15T07:01,http://example.com/273
Corte de gas programado,La empresa distribuidora realizó corte para mantenimiento preventivo,cortes,-48.2157,-64.8481,2025-10-18T15:57,http://example.com/274
Caída de puente peatonal,Sección de puente peatonal cedió por sobrepeso,accidente,-51.0827,-56.0045,2025-06-06T22:39,http://example.com/275
Corte eléctrico por mantenimiento,La empresa anunció corte programado de 6 horas en zona norte,cortes,-34.3692,-69.4457,2025-05-29T11:35,http://example.com/276
Accidente de moto en autopista,Motociclista perdió el control a alta velocidad y resultó herido,accidente,-49.4687,-61.4702,2025-08-16T03:56,http://example.com/277
Explosión en fábrica,Una explosión en una planta industrial dejó varios heridos y daños materiales,accidente,-43.6965,-53.8344,2025-09-29T22:15,http://example.com/278
Feria de emprendedores,Más de cien emprendedores locales exhibieron sus productos,evento,-31.6287,-55.0911,2025-12-21T01:11,http://example.com/279
Concierto de folklore,Artistas nacionales celebraron el folklore argentino en auditorio municipal,evento,-35.0563,-66.3778,2025-06-04T12:41,http://example.com/280
Apagón por sobrecarga,Exceso de demanda eléctrica provocó corte en varios barrios,cortes,-50.722,-67.7092,2025-07-31T15:32,http://example.com/281
Crecida del río amenaza pueblos,El nivel del río superó el umbral de alerta en tres localidades,evento,-22.1432,-64.8844,2025-04-14T23:47,http://example.com/282
Feria agroecológica,Productores locales ofrecieron frutas y verduras orgánicas,evento,-33.224,-63.3875,2025-12-08T23:28,http://example.com/283
Helada tardía daña viñedos,Una helada fuera de temporada afectó producción vitivinícola,evento,-42.207,-65.9277,2025-10-06T01:37,http://example.com/284
Manifestación estudiantil,Estudiantes universitarios tomaron las calles por recortes en educación,evento,-40.3844,-56.2568,2025-11-23T20:55,http://example.com/285
Derrumbe en obra en construcción,Un andamio colapsó en una obra en construcción hiriendo a dos operarios,accidente,-51.461,-62.0706,2025-04-26T23:06,http://example.com/286
Concierto de folklore,Artistas nacionales celebraron el folklore argentino en auditorio municipal,evento,-29.5814,-69.7436,2025-07-18T19:23,http://example.com/287
Feria de ropa usada,Gran cantidad de ropa de segunda mano a precios accesibles,evento,-52.9,-54.088,2025-10-31T20:41,http://example.com/288
Crecida del río amenaza pueblos,El nivel del río superó el umbral de alerta en tres localidades,evento,-31.1743,-69.5325,2025-09-02T02:48,http://example.com/289
Choque múltiple en niebla,Tres vehículos colisionaron por baja visibilidad,accidente,-24.6753,-66.2272,2025-09-07T09:45,http://example.com/290
Feria de antigüedades,Coleccionistas y curiosos se dieron cita en la feria de objetos vintage,evento,-24.1846,-68.284,2025-03-20T14:17,http://example.com/291
Colisión en cruce ferroviario,Auto chocó contra barrera de paso a nivel,accidente,-41.1351,-63.7295,2025-07-20T21:01,http://example.com/292
Derrumbe parcial de edificio,Un edificio antiguo sufrió un derrumbe parcial en su fachada,accidente,-42.384,-60.5127,2025-06-29T16:11,http://example.com/293
Corte de luz por tormenta,Fuertes vientos derribaron postes dejando sin luz a miles de hogares,cortes,-45.5194,-69.3994,2025-12-31T19:10,http://example.com/294
Festival de jazz en plaza,Músicos locales e internacionales animaron la noche en plaza central,evento,-44.3715,-65.3986,2025-11-05T05:44,http://example.com/295
Torneo de ajedrez escolar,Estudiantes de primaria y secundaria compitieron en torneo municipal,evento,-43.254,-56.0539,2025-10-21T12:51,http://example.com/296
Festival de jazz en plaza,Músicos locales e internacionales animaron la noche en plaza central,evento,-49.0503,-70.9463,2025-09-03T18:54,http://example.com/297
Maratón solidaria,Cientos de corredores participaron en carrera a beneficio de un hospital,evento,-34.2139,-71.1774,2025-09-25T09:13,http://example.com/298
Derrumbe en obra en construcción,Un andamio colapsó en una obra en construcción hiriendo a dos operarios,accidente,-43.0944,-72.2999,2025-07-05T06:34,http://example.com/299
Tormenta eléctrica severa,Rayos provocaron incendios y cortes de luz en zona rural,evento,-29.3193,-68.9463,2025-04-04T23:24,http://example.com/300
Marcha por el medio ambiente,Activistas reclamaron por la contaminación de un río local,evento,-54.7067,-53.7381,2025-12-18T21:39,http://example.com/301
Paro de médicos en hospital público,Profesionales de la salud pararon en reclamo de insumos,evento,-32.3355,-73.2486,2025-05-23T07:53,http://example.com/302
Helada tardía daña viñedos,Una helada fuera de temporada afectó producción vitivinícola,evento,-24.6077,-55.6578,2025-08-28T13:27,http://example.com/303
Interrupción telefónica masiva,Falla en central telefónica dejó sin servicio a zona comercial,cortes,-26.2291,-63.9392,2025-10-30T03:49,http://example.com/304
Camión volcado en rotonda,Un camión cisterna volcó al tomar mal una rotonda,accidente,-41.6279,-54.8418,2025-09-03T04:53,http://example.com/305
Corte de agua por obras viales,Excavaciones para ampliación de avenida cortaron cañería principal,cortes,-45.4773,-72.7267,2025-11-24T15:23,http://example.com/306
Corte de agua por obras viales,Excavaciones para ampliación de avenida cortaron cañería principal,cortes,-24.8485,-61.2878,2025-11-13T06:56,http://example.com/307
Paro de transporte público,Choferes de colectivos realizaron paro por 24 horas,evento,-28.5877,-68.2021,2025-04-22T02:59,http://example.com/308
Paro de médicos en hospital público,Profesionales de la salud pararon en reclamo de insumos,evento,-50.4043,-55.8651,2025-07-05T00:44,http://example.com/309
Festival de teatro callejero,Compañías locales realizaron obras en espacios públicos,evento,-38.0527,-60.4382,2025-05-18T16:54,http://example.com/310
Corte de agua por contaminación,Se suspendió el servicio por detección de contaminantes en red,cortes,-42.8806,-68.9132,2025-05-05T15:18,http://example.com/311
Feria de ropa usada,Gran cantidad de ropa de segunda mano a precios accesibles,evento,-38.6364,-73.2904,2025-03-21T20:57,http://example.com/312
Camión volcado en rotonda,Un camión cisterna volcó al tomar mal una rotonda,accidente,-40.9018,-71.943,2025-05-24T00:44,http://example.com/313
Feria del libro infantil,Gran convocatoria en la feria de literatura para niños y jóvenes,evento,-36.8434,-67.0964,2025-04-08T00:05,http://example.com/314
Inundación en barrio bajo,Lluvias intensas anegaron calles y viviendas en zona inundable,evento,-25.863,-53.8005,2025-05-25T22:30,http://example.com/315
Corte de luz por vandalismo,Robo de cables dejó sin electricidad a todo un barrio,cortes,-42.3899,-58.5747,2025-05-17T09:29,http://example.com/316
Derrumbe en obra en construcción,Un andamio colapsó en una obra en construcción hiriendo a dos operarios,accidente,-44.1342,-61.3884,2025-04-23T02:56,http://example.com/317
Tormenta eléctrica severa,Rayos provocaron incendios y cortes de luz en zona rural,evento,-47.2558,-72.5299,2025-11-11T03:15,http://example.com/318
Corte eléctrico por mantenimiento,La empresa anunció corte programado de 6 horas en zona norte,cortes,-28.5448,-65.2315,2025-12-06T21:18,http://example.com/319
Incendio en vivienda familiar,Un corto circuito desató un incendio que consumió dos habitaciones,accidente,-33.273,-72.7833,2025-03-06T07:37,http://example.com/320
Choque entre camiones,Colisión entre dos camiones de carga en ruta nacional,accidente,-40.8262,-72.9367,2025-09-01T10:16,http://example.com/321
Manifestación de vecinos,Vecinos cortaron calle para reclamar por baches y falta de alumbrado,evento,-27.9494,-56.3749,2025-04-28T05:33,http://example.com/322
Torneo de básquet femenino,Equipos de toda la provincia compitieron en el torneo regional,evento,-23.7686,-58.4464,2025-09-24T09:36,http://example.com/323
Feria de ciencias escolar,Alumnos de secundaria presentaron proyectos científicos innovadores,evento,-46.7906,-54.5747,2025-09-27T18:22,http://example.com/324
Apagón por sobrecarga,Exceso de demanda eléctrica provocó corte en varios barrios,cortes,-37.6618,-61.8771,2025-04-30T05:21,http://example.com/325
Corte de ruta por protesta,Productores agropecuarios cortaron ruta nacional en reclamo de precios,evento,-28.2467,-69.7133,2025-03-02T19:42,http://example.com/326
Caída de árbol sobre auto,Un árbol caído por el viento aplastó un vehículo estacionado,accidente,-52.2731,-62.853,2025-11-25T00:24,http://example.com/327
Corte de gas por fuga,Técnicos cortaron el suministro ante una fuga en red secundaria,cortes,-41.4233,-68.6915,2025-10-28T16:45,http://example.com/328
Maratón nocturna,Competencia nocturna convocó a más de mil participantes,evento,-50.7034,-54.6427,2025-04-22T20:40,http://example.com/329
Corte de luz por vandalismo,Robo de cables dejó sin electricidad a todo un barrio,cortes,-51.1758,-57.1384,2025-09-05T03:01,http://example.com/330
Concierto de folklore,Artistas nacionales celebraron el folklore argentino en auditorio municipal,evento,-28.9462,-65.1789,2025-03-12T01:03,http://example.com/331
Corte de agua por contaminación,Se suspendió el servicio por detección de contaminantes en red,cortes,-28.5069,-62.9543,2025-11-06T16:30,http://example.com/332
Corte de agua por contaminación,Se suspendió el servicio por detección de contaminantes en red,cortes,-50.5918,-60.3828,2025-07-19T07:06,http://example.com/333
Corte de gas por fuga,Técnicos cortaron el suministro ante una fuga en red secundaria,cortes,-53.9693,-61.5454,2025-12-04T14:17,http://example.com/334
Manifestación de vecinos,Vecinos cortaron calle para reclamar por baches y falta de alumbrado,evento,-22.7949,-58.492,2025-06-14T02:18,http://example.com/335
Sequía afecta ganadería,Falta de lluvias complica producción ganadera en zona semiárida,evento,-46.8477,-69.5606,2025-08-04T17:30,http://example.com/336
Nevadas en zona cordillerana,Importante acumulación de nieve cortó pasos montañosos,evento,-22.5918,-65.3725,2025-06-07T20:41,http://example.com/337
Festival de jazz en plaza,Músicos locales e internacionales animaron la noche en plaza central,evento,-25.1986,-69.9879,2025-06-01T08:31,http://example.com/338
Choque tren-camión,Un camión quedó atrapado en las vías y fue embestido por un tren,accidente,-39.55,-54.7008,2025-12-01T02:38,http://example.com/339
Maratón solidaria,Cientos de corredores participaron en carrera a beneficio de un hospital,evento,-27.1942,-56.5435,2025-05-26T07:13,http://example.com/340
Protesta de trabajadores municipales,Empleados municipales realizaron huelga por incumplimiento de paritarias,evento,-38.6235,-57.3213,2025-10-30T09:36,http://example.com/341
Festival de jazz en plaza,Músicos locales e internacionales animaron la noche en plaza central,evento,-39.9557,-62.786,2025-04-14T00:16,http://example.com/342
Apagón por sobrecarga,Exceso de demanda eléctrica provocó corte en varios barrios,cortes,-48.2145,-61.3126,2025-07-24T08:42,http://example.com/343
Temporal de viento,Ráfagas de hasta 100 km/h volaron techos y derribaron postes,evento,-30.0758,-67.9582,2025-09-12T10:19,http://example.com/344
Festival de teatro callejero,Compañías locales realizaron obras en espacios públicos,evento,-30.0679,-67.9176,2025-06-28T15:23,http://example.com/345
Torneo de ajedrez escolar,Estudiantes de primaria y secundaria compitieron en torneo municipal,evento,-24.0787,-70.225,2025-11-08T15:27,http://example.com/346
Corte de agua por rotura,Una rotura en cañería maestra dejó sin agua a varios barrios,cortes,-24.2448,-63.5468,2025-11-06T06:25,http://example.com/347
Derrumbe en obra en construcción,Un andamio colapsó en una obra en construcción hiriendo a dos operarios,accidente,-27.3195,-63.0671,2025-03-10T16:42,http://example.com/348
Corte de luz por vandalismo,Robo de cables dejó sin electricidad a todo un barrio,cortes,-43.8336,-60.0639,2025-03-30T13:48,http://example.com/349
Torneo de ajedrez escolar,Estudiantes de primaria y secundaria compitieron en torneo municipal,evento,-31.8242,-53.7357,2025-06-24T18:35,http://example.com/350
Sequía afecta ganadería,Falta de lluvias complica producción ganadera en zona semiárida,evento,-54.4699,-66.8813,2025-11-01T18:58,http://example.com/351
Colisión en cruce ferroviario,Auto chocó contra barrera de paso a nivel,accidente,-39.0982,-54.16,2025-04-02T05:48,http://example.com/352
Caída de puente peatonal,Sección de puente peatonal cedió por sobrepeso,accidente,-46.904,-67.0117,2025-09-26T16:40,http://example.com/353
Inundación en barrio bajo,Lluvias intensas anegaron calles y viviendas en zona inundable,evento,-41.2452,-64.0218,2025-05-09T10:53,http://example.com/354
Choque múltiple en niebla,Tres vehículos colisionaron por baja visibilidad,accidente,-47.8838,-56.8833,2025-02-23T04:23,http://example.com/355
Corte de luz por tormenta,Fuertes vientos derribaron postes dejando sin luz a miles de hogares,cortes,-33.3059,-64.6925,2025-06-16T23:54,http://example.com/356
Choque entre camiones,Colisión entre dos camiones de carga en ruta nacional,accidente,-25.2407,-58.0832,2025-03-25T11:45,http://example.com/357
Derrumbe parcial de edificio,Un edificio antiguo sufrió un derrumbe parcial en su fachada,accidente,-38.9188,-59.0248,2025-07-23T08:29,http://example.com/358
Protesta de docentes,Maestros marcharon al ministerio reclamando mejoras salariales,evento,-52.5262,-55.307,2025-02-23T07:40,http://example.com/359
Protesta de docentes,Maestros marcharon al ministerio reclamando mejoras salariales,evento,-37.587,-56.0583,2025-03-02T15:31,http://example.com/360
Inauguración de mural comunitario,Vecinos y artistas pintaron un mural en la pared de la escuela,evento,-36.3108,-66.5467,2025-10-23T04:16,http://example.com/361
Corte de luz por vandalismo,Robo de cables dejó sin electricidad a todo un barrio,cortes,-22.6084,-57.9489,2025-07-05T22:56,http://example.com/362
Feria del trueque,Vecinos intercambiaron productos y servicios sin dinero,evento,-45.6185,-66.7165,2025-04-24T06:48,http://example.com/363
Corte de agua por rotura,Una rotura en cañería maestra dejó sin agua a varios barrios,cortes,-28.8273,-57.4253,2025-04-30T05:46,http://example.com/364
Festival de cine independiente,Proyecciones al aire libre de cortometrajes nacionales e internacionales,evento,-27.178,-65.9097,2025-05-23T12:46,http://example.com/365
Feria de ropa usada,Gran cantidad de ropa de segunda mano a precios accesibles,evento,-48.1371,-57.1445,2025-05-21T05:38,http://example.com/366
Corte de agua en zona industrial,Mantenimiento de emergencia en planta potabilizadora,cortes,-50.4335,-60.4693,2025-12-04T15:39,http://example.com/367
Feria de ropa usada,Gran cantidad de ropa de segunda mano a precios accesibles,evento,-32.0402,-59.9857,2025-06-19T02:21,http://example.com/368
Incendio en depósito,Un depósito de materiales inflamables se incendió en zona industrial,accidente,-46.1728,-54.4067,2025-11-21T22:19,http://example.com/369
Interrupción de agua caliente,Falla en sistema de calefacción central de edificios municipales,cortes,-43.3743,-64.0944,2025-12-28T21:24,http://example.com/370
Corte de gas programado,La empresa distribuidora realizó corte para mantenimiento preventivo,cortes,-39.8989,-59.6298,2025-07-24T05:27,http://example.com/371
Corte eléctrico por mantenimiento,La empresa anunció corte programado de 6 horas en zona norte,cortes,-36.8907,-60.2411,2025-08-08T18:24,http://example.com/372
Corte de luz en zona rural,Granizo dañó líneas de alta tensión dejando pueblos sin electricidad,cortes,-33.4763,-73.2468,2025-02-25T21:58,http://example.com/373
Corte eléctrico por mantenimiento,La empresa anunció corte programado de 6 horas en zona norte,cortes,-36.7929,-58.1091,2025-04-12T12:31,http://example.com/374
Interrupción de agua caliente,Falla en sistema de calefacción central de edificios municipales,cortes,-27.5288,-55.2505,2025-11-30T22:40,http://example.com/375
Protesta de comerciantes,Comerciantes del centro cerraron sus negocios en señal de protesta,evento,-33.3085,-55.3117,2025-02-28T14:26,http://example.com/376
Nevadas en zona cordillerana,Importante acumulación de nieve cortó pasos montañosos,evento,-44.7436,-70.2214,2025-11-06T12:44,http://example.com/377
Maratón solidaria,Cientos de corredores participaron en carrera a beneficio de un hospital,evento,-54.0348,-66.7102,2025-05-30T20:51,http://example.com/378
Torneo de fútbol barrial,Equipos de distintos barrios disputaron el torneo de verano,evento,-52.8919,-58.1507,2025-08-05T15:04,http://example.com/379
Inundación en barrio bajo,Lluvias intensas anegaron calles y viviendas en zona inundable,evento,-54.6412,-59.9129,2025-06-30T00:38,http://example.com/380
Protesta de docentes,Maestros marcharon al ministerio reclamando mejoras salariales,evento,-29.2842,-61.4899,2025-03-21T13:30,http://example.com/381
Exposición de fotografía,Muestra de fotógrafos locales sobre paisajes patagónicos,evento,-47.8749,-59.4175,2025-05-06T10:00,http://example.com/382
Caída de árbol sobre auto,Un árbol caído por el viento aplastó un vehículo estacionado,accidente,-44.9846,-70.5082,2025-07-03T06:13,http://example.com/383
Inauguración de mural comunitario,Vecinos y artistas pintaron un mural en la pared de la escuela,evento,-25.2522,-56.5612,2025-10-27T15:34,http://example.com/384
Camión volcado en rotonda,Un camión cisterna volcó al tomar mal una rotonda,accidente,-34.8504,-68.7893,2025-12-07T22:13,http://example.com/385
Festival de danza folclórica,Grupos de danza de distintas provincias actuaron en el parque,evento,-47.9608,-53.9735,2025-05-25T14:50,http://example.com/386
Corte eléctrico por mantenimiento,La empresa anunció corte programado de 6 horas en zona norte,cortes,-40.3551,-65.073,2025-02-24T13:26,http://example.com/387
Feria de ciencias escolar,Alumnos de secundaria presentaron proyectos científicos innovadores,evento,-29.1881,-66.0962,2025-08-14T11:20,http://example.com/388
Desfile de carnaval,Colorido desfile de comparsas recorrió las calles del centro,evento,-46.5206,-60.9105,2025-08-26T17:17,http://example.com/389
Feria agroecológica,Productores locales ofrecieron frutas y verduras orgánicas,evento,-22.5647,-64.847,2025-11-21T14:50,http://example.com/390
Accidente de tránsito nocturno,Choque frontal entre dos autos en ruta provincial a la madrugada,accidente,-33.4355,-63.1511,2025-05-11T06:50,http://example.com/391
Corte de gas programado,La empresa distribuidora realizó corte para mantenimiento preventivo,cortes,-22.9028,-60.0957,2025-07-09T10:53,http://example.com/392
Torneo de fútbol barrial,Equipos de distintos barrios disputaron el torneo de verano,evento,-23.2756,-66.9405,2025-11-03T18:19,http://example.com/393
Tormenta eléctrica severa,Rayos provocaron incendios y cortes de luz en zona rural,evento,-42.7058,-71.8467,2025-05-04T13:45,http://example.com/394
Corte de ruta por protesta,Productores agropecuarios cortaron ruta nacional en reclamo de precios,evento,-23.7616,-71.9254,2025-07-18T04:58,http://example.com/395
Incendio en vivienda familiar,Un corto circuito desató un incendio que consumió dos habitaciones,accidente,-46.5733,-68.5612,2025-10-23T05:20,http://example.com/396
Apagón por sobrecarga,Exceso de demanda eléctrica provocó corte en varios barrios,cortes,-22.7481,-57.0748,2025-11-09T12:19,http://example.com/397
Paro de transporte público,Choferes de colectivos realizaron paro por 24 horas,evento,-27.8305,-72.127,2025-06-18T21:57,http://example.com/398
Marcha por el medio ambiente,Activistas reclamaron por la contaminación de un río local,evento,-28.2854,-59.3831,2025-09-14T13:13,http://example.com/399
Choque entre camiones,Colisión entre dos camiones de carga en ruta nacional,accidente,-43.0559,-66.3484,2025-05-18T00:35,http://example.com/400
